,sentence,#aspect terms,aspect_terms,at_polarity
488,मैंने इस product पर बहुत money spend किया है और यह एक nightmare हो गया है।,0,[],[]
489,मुझे acer arcade भी पसंद है लेकिन ये वास्तव में only two things थीं जो इस laptop में मुझे पसंद थीं।,1,['acer arcade'],['positive']
490,"अभी तक इसके साथ किसी भी customer support की आवश्यकता नहीं है, इसलिए मेरे लिए यह एक great thing है, जो मेरे opinion में आगे PC का  leaps and bounds है।",1,['customer support'],['positive']
491,इसे return करने का सोच रहा था,0,[],[]
492,"मैंने इसे अपनी daughter को दे दिया क्योंकि मैं screen से hate करता था, hate करता था कि कम से कम cd's play करने के लिए इसमें cd drive नहीं था जब मैं music सुनना और school work करना चाहता था।",2,"['screen', 'cd drive']","['negative', 'negative']"
493,यह बहुत अच्छे से run भी करता है जो एक plus है।,1,['run'],['positive']
494,लेकिन इसमें एक प्रमुख design flaw है।,1,['design'],['negative']
495,"मैंने laptop home से लिया है और एक month भी नहीं बीता, मुझे इससे problems होने लगी।",0,[],[]
496,"यह heavy, bulky था, और size के कारण carry करना मुश्किल था।",1,['size'],['negative']
497,यह मेरा first Apple product था और तब से मैं उनके हर product से जिसे मैंने buy किया है अविश्वसनीय रूप से happy हूं।,0,[],[]
498,"मैंने इसे करने का try किया, लेकिन कुछ नहीं हुआ।",0,[],[]
499,"यह super fast है, और हमेशा load होता है।",0,[],[]
500,Games जो include किए गए हैं बहुत अच्छे games हैं।,2,"['Games', 'games']","['neutral', 'positive']"
501,"यह computer कम से कम 7 years तक चलेगा, यह एक amazing spanned electronic life है।",1,['life'],['positive']
502,"मैंने Apple Store से उस दिन अपना buy किया, जिस दिन Amazon ने इसे release किया था।",0,[],[]
503,मेरे पास कुछ और था जो wronge हो गया और उन्होंने कहा कि warranty को buy करने में able होने के लिए इसे good working order में होना चाहिए।,1,['warranty'],['negative']
504,सारा experience horrible है इसलिए save up करें और एक बेहतर laptop खरीदें।,0,[],[]
505,मैंने बस 3 days पहले यह laptop buy किया था।,0,[],[]
506,मैं अपने purchase से बहुत pleased हूं!,0,[],[]
507,कभी-कभी आपको इसे work कराने के लिए pad पर tap करना होता है,1,['pad'],['negative']
508,यह super fast है और price के हिसाब से एक बेहतरीन value वाला है!,2,"['value', 'price']","['positive', 'positive']"
509,"Three, mac book में linux based OS के साथ pcs पर advantages हैं  जब mac पर आता है तब system performance के साथ बहुत कम problems हैं।",2,"['system performance', 'linux based OS']","['negative', 'negative']"
510,Mac का use करना बहुत easy है और आसानी से इसका कोई sense बनता है।,1,['use'],['positive']
511,"बेशक, eMachines को पूरी तरह से इस computer के संकट के लिए blame नहीं किया जा सकता है;",0,[],[]
512,"हालाँकि, मैं अनजाने में shipping carton के साथ batteries में से एक को through कर सकता हूं।",2,"['batteries', 'shipping carton']","['neutral', 'neutral']"
513,Love it so far.,0,[],[]
514,इसे use करना बहुत ही easy है,1,['use'],['positive']
515,पहले एक program open करने की जरुरत नहीं है और फिर open या import पर click करें।,1,['program'],['positive']
516,"संक्षेप में, आप कह सकते हैं कि आपका mac आपका best friend बन सकता है (Rover your dog को replace करने का कोई intention नहीं है)।",0,[],[]
517,यह एक bad experience था लेकिन मैंने इसके importance को समझा।,0,[],[]
518,मेरी needs को perfectly पूरा करता है और senior को बिना arthritis को affect किए carry करने के लिए काफी light है।,0,[],[]
519,यह बहुत nice है इसके बारे में worry ना करें और extra expense जो PC's पर necessary virus protection के साथ आता है।,1,['virus protection'],['positive']
520,"Notebook PC, Toshiba  Qosmio सबसे अच्छे gift हैं जो मेरे father से कभी मुझे मिल सकते है।",0,[],[]
521,"Netbook खरीदने के three weeks के बाद, screen ने काम करना छोड़ दिया।",1,['screen'],['negative']
522,"Processor scream करता है, और Apple OSX 16 के functions के unique way के कारण, अधिकांश graphics software के बजाय hardware के माध्यम से route किए जाते हैं।",5,"['Processor', 'OSX 16', 'graphics', 'hardware', 'software']","['positive', 'positive', 'positive', 'neutral', 'neutral']"
523,मैं वर्तमान में town से बाहर हूं और उन्हें inform करने के लिए call किया कि जब मैं town में वापस आऊंगा तो broken part return हो जाएगा।,0,[],[]
524,"4th repair के लिए laptop return किया और यह वापस आ गया, लेकिन अब lock हो जाएगा और laptop को unusable बनाते हुए frequently reboot किया जाएगा।",0,[],[]
525,मैं कुछ ऐसा चाहता था जिसमें एक new Intel Core processors और HDMI port हो ताकि हम इसे सीधे अपने TV पर hook कर सकें।,2,"['Intel Core processors', 'HDMI port']","['neutral', 'neutral']"
526,"Apple Internet Explorer run कराएगा, लेकिन एक आश्चर्यजनक रुप से धीमी दर पर।",1,['Internet Explorer'],['conflict']
527,"आज की company marketshare पर fight कर रही है, यह शर्म की बात है कि ASUS phone का answer देने वाले inept staff के साथ दूर हो सकता है।",1,['staff'],['negative']
528,उसके अलावा मुझे world में एक complaint नहीं है!,0,[],[]
529,"Computer बहुत slow है, staples के बाद भी इसे गति देने के लिए extra money pay कर रहा हूं।",0,[],[]
530,मुझे feel होता है कि इन दिनों काफी people के पास mac है और comanies को चीजों को अधिक compatible बनाना start करने की need है जो वे करते थे।,0,[],[]
531,"Price premium थोड़ा अधिक है, लेकिन जब आप features को देखना start करते हैं तो यह added cash के लायक है।",2,"['Price premium', 'features']","['negative', 'positive']"
532,* मरम्मत के लिए computer देने के 5 week के बाद * पुराना computer receive करने के बाद Apple replacement send करने का पेशकश देता है।,0,[],[]
533,मैं काफी नहीं कह सकता कि मैं उनके product and help aftermarket से कितना satisfied हूं।,1,['product and help aftermarket'],['positive']
534,मेरे fellow classmates की तुलना में मेरा computer school में सर्वश्रेष्ठ में से एक था।,0,[],[]
535,2nd grade में मैंने अपने son के लिए buy किया।,0,[],[]
536,यह अबतक three times हो चुका है।,0,[],[]
537,मैं एक professional consultant हूं और एक client को अपने machine पर work कराने की जरूरत है।,0,[],[]
538,खुद से compress होता है और आप इसे use नहीं कर सकते।,0,[],[]
539,इसमें Microsoft word नहीं था और मुझे इसे अलग से buy करना था।,1,['Microsoft word'],['negative']
540,"इसमें 3 usb ports, 1 sd memory card reader और एक sd memory card expansion है।",3,"['usb ports', 'sd memory card reader', 'sd memory card expansion']","['neutral', 'neutral', 'neutral']"
541,"कौन जानता है कि बाद में क्या होगा जब वे whole damn thing को dismantle कर देंगे? इसलिए, मैंने कहा कि मुझे एक new set चाहिए।",0,[],[]
542,"मैं firewire 800 interface के माध्यम से एक LaCie 2Big external drive को जोड़ता हूं, जो Time Machine के लिए उपयोगी है।",3,"['LaCie 2Big external drive', 'firewire 800 interface', 'Time Machine']","['neutral', 'positive', 'neutral']"
543,"यदि आपने पहले से ही 2009, 2010 या 2011 के early model खरीद चुके हैं, तो आपको next update तक wait करना चाहिए।",0,[],[]
544,"मेरे Toshiba में हर चीज़ पर sound नहीं था, बस certain thing पे था।",1,['sound'],['negative']
545,"मैं अपने toshiba satellite से बहुत खुश हूं, मुझे extra features पसंद हैं, मुझे windows 7 home premium पसंद है।",2,"['extra features', 'windows 7 home premium']","['positive', 'positive']"
546,"इसलिए, मुझे कहना होगा कि मैं एक happy camper नहीं हूं।",0,[],[]
547,"Temprory replacement के लिए पुछने के लिए Amsterdam Mac house call किया, कोई answer नहीं मिला।",0,[],[]
548,Aspire भी Acer screen को एक Droid के साथ boot नहीं करता है (मैंने Motorola और HTC दोनो इस्तेमाल किया है) USB port plugged किया गया है।,3,"['Acer screen', 'USB port', 'boot']","['negative', 'negative', 'negative']"
549,मैंने इसे हाल ही में Comex IT show के दौरान buy किया था।,0,[],[]
550,जितना expect किया गया था battery life उससे shorter थी।,1,['battery life'],['negative']
551,यह 30 second से भी less समय में morning में fires up होता है और मुझे कभी भी इसके freezing से कोई issue नहीं होती है।,1,['fires up'],['positive']
552,यह overheat नहीं होता है या कोई loud noise नहीं करता है।,0,[],[]
553,Recipes को देखता हूं और cook करते समय इसे kitchen के counter पर रखता हूं।,0,[],[]
554,Keyboard top notch है।,1,['Keyboard'],['positive']
555,क्या आपको लगता है कि shop मुझे एक new set देगी ?? यह नहीं होगा!,0,[],[]
556,मेरे पास कुछ भी नहीं है लेकिन problem उस day से है जब मैंने इसे box से निकाला!,0,[],[]
557,मेरी Mackbook की कीमत $ 375 थी (3 yars के use के बाद!)।,0,[],[]
558,यह मुझे crazy कर देता है जब मैं एक game या उस nature का कुछ download करना चाहता हूं और मैं इसे play नहीं कर सकता क्योंकि यह software के साथ compatible नहीं है।,1,['software'],['negative']
559,Online tutorial videos इसे learn करने में बहुत आसान बनाते हैं यदि आपने हमेशा एक PC का use किया है।,1,['Online tutorial videos'],['positive']
560,इस gateway M-50 या 150 को 2007 के शुरुआत में buy किया।,0,[],[]
561,Image बेहतरीन है और sound जबरजस्त है।,2,"['Image', 'sound']","['positive', 'positive']"
562,Mac computer के साथ मेरे पास अधिक free time है क्योंकि मुझे windows के boot up होने या shut down होने और windows से associated सभी viruses के लिए wait करने की आवश्यकता नहीं है।,4,"['windows', 'boot up', 'shut down', 'windows']","['negative', 'negative', 'negative', 'negative']"
563,यह pick up करने और use करने के लिए बहुत easy था - Mac OS के लिए used to होने में बहुत समय नहीं लगा।,2,"['Mac OS', 'use']","['positive', 'positive']"
564,"यह netbook किसी अन्य laptop या desktop (मेरी wife और मेरे पास दूसरा laptop है) के लिए एक supplementary computer है, या यदि आप एक एसे user हैं जो simple task के लिए computer का use करता है।",0,[],[]
565,"इस machine के अंदर सभी goodies के साथ, यह एक value है।",0,[],[]
566,मैंने इसे full refund के लिए वापस ले लिया।,0,[],[]
567,"यह सच में उसके लायक है जो money इसके लिए cost की गई है, बहुत good investment है।",1,['cost'],['positive']
568,"Windows 7 Starter से upgrade करके, Windows 7 Home Premium से, Windows 7 professional करना एक चुटकी का काम था।",3,"['Windows 7 Starter', 'Windows 7 Home Premium', 'Windows 7 professional']","['neutral', 'neutral', 'neutral']"
569,इस computer में वही specifications है जिसकी  मुझे need थी।,1,['specifications'],['positive']
570,"कुल मिलाकर, अभी भी बहुत nice machine है।",0,[],[]
571,"आप जहां चाहते हो इसके picture, link आदि को click करते हो hold करते हो और drag करते हो। ",0,[],[]
572,मेरे kids (और dogs) ने आपस में खींच तान कर two power cords destroy कर दिये।,1,['power cords'],['neutral']
573,"मैंने अपने पुराने MacBook को Lion में upgrade किया था, इसलिए मुझे पता था कि मुझे क्या मिल रहा था, लेकिन कोई new awesome multi-touch features enjoy नहीं कर पाया।",1,['multi-touch features'],['positive']
574,मेरे पास एक month के लिए यह computer था और इसे repair के लिए send करना पड़ा।,0,[],[]
575,"Screen थोड़ा glary है, और मुझे clicking buttons से hate है, लेकिन मुझे उनकी आदत पड़ गई।",2,"['Screen', 'clicking buttons']","['negative', 'negative']"
576,"Mention करने के लिए नहीं, battery life पूरी तरह से amazing है।",1,['battery life'],['positive']
577,"मैं realize करता हूं कि हर unit में यह issue नहीं है, लेकिन जिनमें है वह repair नहीं हो सकते।",0,[],[]
578,मेरे पास 6 years के लिए एक Mac है और PC पर वापस नहीं जाउंगा।,0,[],[]
579,मैं इसे use करना पसंद करता हूं यह easy और light है।,0,[],[]
580,Windows भी बिना किसी reason के computer को बिना किसी warning के बंद कर देता है।,1,['Windows'],['negative']
581,Wired lan का use नहीं कर रहा sure नहीं हूं कि यह किसके लिए है।,1,['Wired lan'],['neutral']
582,लगभग एक और month के बाद मुझे इसे repair के लिए AGAIN से Acer send करना पड़ा।,0,[],[]
583,Mackbook के लिए शायद ही कभी hard reboot आवश्यक होता है।,1,['hard reboot'],['conflict']
584,I LOVE it!,0,[],[]
585,# 1 reason है जो हमेशा repeat किया जाता है।,0,[],[]
586,अब hardware की problems के लिए।,1,['hardware'],['negative']
587,"दुर्भाग्यवश, ऐसा case नहीं है।",0,[],[]
588,वैसे भी मैंने इसे two months पहले buy किया था और जब मैं पहली बार इसे home लाया तो यह मुझे hard drive में vibration के बारे में एक message देता रहा है और यह इसे अस्थायी रूप से safe zone में डाल रहा है।,1,['hard drive'],['negative']
589,यह fast है और इसमें बेहतरीन battery life है।,1,['battery life'],['positive']
590,It's face and depanable.,0,[],[]
591,No Viruses!,0,[],[]
592,"मैं वास्तव में बहुत happy हूं कि मैंने buy करने के लिए wait किया, क्योंकि यह चीज $$ kick करती है!",0,[],[]
593,"Hewlett Packard Pavillion dv67006700 मेरा पहला laptop था, इससे पहले मेरे पास Dell का एक desktop था जो मुझे पसंद था।",0,[],[]
594,Apple care included.,1,['Apple care'],['neutral']
595,यह मेरे लिए पूरी तरह से money का waste था।,0,[],[]
596,मैंने इससे पहले IT retail sales में काम किया था।,0,[],[]
597,Font जैसे features बहुत block-like और old school जैसे हैं।,2,"['Font', 'features']","['negative', 'negative']"
598,इसमें वह सब कुछ है जिसकी need job को done करने में होगी।,0,[],[]
599,इसमें ऐसे programs हैं जो एक average user के लिए अच्छे नहीं है जिससे यह बहुत slow run करता है।,2,"['programs', 'run']","['negative', 'negative']"
600,मुझे feel होता है यह बहुत बुरी तरह से put किया गया है क्योंकि कभी ना कभी कोई ना कोई plastic pieces अलग हो ही जाते हैं।,1,['plastic pieces'],['negative']
601,यह एक साथ कई सारे web pages open होने पर well function नहीं कर सकता है।,0,[],[]
602,"अंत में, मुझे ध्यान देना चाहिए कि मैंने अपने old Eee PC से 2GB RAM stick ली और first time power on करने से पहले ही इसे install कर दिया।",1,['2GB RAM stick'],['neutral']
603,इस laptop ने मुझे Acer brand के products के लिए mouth में एक HORRIBLE taste के साथ छोड़ दिया है।,0,[],[]
604,यह bad नहीं है बस बहुत annoying है।,0,[],[]
605,"अच्छा, शायद one week के आस-पास ",0,[],[]
606,Windows भी बल्कि अपने feet पर unsteady है और कई bugs के लिए susceptible है।,1,['Windows'],['negative']
607,"Email के माध्यम से document send करने के बाद मुझे recipients ने बताया कि वे documents open नहीं कर सकते या वे gibberish के रूप में आए थे, मैं टूट गया और Microsoft Word for Mac के लिए एक और $ 100 spend किया।",1,['Microsoft Word for Mac'],['neutral']
608,"मेरा मानना है कि मैंने इसे 09 Dec को अपने primary work के लिए purchase किया था, जिसका use day में 5-10 hours, week में 4-6 days किया जाता है।",0,[],[]
609,GATEWAY COMPUTERS BUY ना करें वे JUNK है और WARRANTY COMPANY HORRIBLE.,1,['WARRANTY COMPANY'],['negative']
610,फिर इसके top पर उनका सभी customer service center middle east में है।,1,['customer service center'],['negative']
611,केवल खराब part size/weight है।,2,"['size', 'weight']","['negative', 'negative']"
612,Little battery जो केवल desktop पर होने के दौरान लगभग एक hour तक चलेगी।,1,['battery'],['negative']
613,मुझे aluminum body पसंद आई।,1,['aluminum body'],['positive']
614,दूसरों की compare में यह lightweight भी है।,0,[],[]
615,Facebook पर मेरा apps playing या watching movies के लिए अच्छा है।,2,"['watching movies', 'playing']","['positive', 'positive']"
616,"Build quality से लेकर performance तक, सब इसके बारे में sub-par रहा है, जो भी मैंने Apple से expect किया था।",2,"['Build quality', 'performance']","['negative', 'negative']"
617,मुझे dock पसंद है वहां मैं किसी एक program के ऊपर एक file drop कर सकता हूं और program उस file को open कर देगा।,3,"['dock', 'program', 'program']","['positive', 'neutral', 'positive']"
618,"Sorry, newegg.",0,[],[]
619,Sony द्वारा safe रहें।,0,[],[]
620,लगभग हर दूसरी चीज उस computer के बारे में good है मगर यह अचानक ही working करना stop कर देता है।,1,['working'],['negative']
621,मूलतः इसे मेरी wife के लिए buy किया।,0,[],[]
622,यह वास्तव में tax से पहले one thousand bucks से कम की costing वाला एक शानदार computer था।,1,['costing'],['positive']
623,"i7 के लिए wait करना well worth था, price के लिए value great है।",2,"['price', 'i7']","['positive', 'positive']"
624,मैंने इस laptop को saturday को buy किया और यह पूरी तरह से पसंद है!,0,[],[]
625,"मैंने पूछा वह कैसे determine करेंगे क्योंकि कोई scratch, dent या दूसरे damage sign नहीं है तो मुझे बताया गया कि वही एक way था कि इस type का damage हो सकता था।",0,[],[]
626,"अब ,,,,, मेरे monitor पर लगभग 2 months से काम चल रहा है।",1,['monitor'],['negative']
627,"इसके अलावा, extended warranty एक समस्या थी।",1,['extended warranty'],['negative']
628,Boots up तेज होता है और बेहतरीन run करता है।,2,"['Boots up', 'run']","['positive', 'positive']"
629,Lightweight और screen सुन्दर है!,1,['screen'],['positive']
630,"इसे buy करें, इसे love करें, और मैं promise करता हूं कि आप regret नहीं करेंगे।",0,[],[]
631,मुझे अपने HP के लिए driver की need थी और वे इसके लिए $50 का pay किए बिना मेरी help नहीं करेंगे।,1,['driver'],['neutral']
632,"यदि आप fingerprints like नहीं करते हैं, तो यह laptop आपके लिए नहीं हो सकता है।",0,[],[]
633,"Tech support को call करें, standard email form करें और इसे हमारे पास वापस fax करें।",1,['Tech support'],['neutral']
634,"अभी एक month और ढ़ाई month पहले, मेरा VAIO फिर से crash हो गया था।",0,[],[]
635,उन्होंने इसे एक huge crack के साथ वापस send कर दिया और इसने अभी भी work नहीं किया।,1,['work'],['negative']
636,"कुछ months बाद, उन्होंने मेरी hard drive को change कर दिया था।",1,['hard drive'],['negative']
637,मैंने HP से contact किया और share किया कि मैं कितना unhappy हूं।,0,[],[]
638,"Macbook एक बढ़िया twin packing में आया और box में seal किया हुआ था, सभी functions बेहतरीन work कर रहे हैं।",2,"['twin packing', 'functions']","['positive', 'positive']"
639,"13 ""MacBook Pro portable, टिकाऊ और बहुत सक्षम है।",0,[],[]
640,मुझे extra hundred bucks खर्च करना चाहिए और एक पूर्ण आकार का computer लेना चाहिए।,0,[],[]
641,Great overall.,0,[],[]
642,मेरा smartphone fast है!,0,[],[]
643,वे कहते हैं sorry warranty खत्म है।,1,['warranty'],['negative']
644,"हर time जो भी चल रहा है, उस पर मेरा full control है - अब कोई भी  control+alt+delete business नहीं है।",0,[],[]
645,मैंने इस laptop को इसलिए buy किया क्योंकि performance price ratio के हिसाब से है।,2,"['performance', 'price']","['positive', 'positive']"
646,BIOS fix होने के बाद भी PC ने कभी सही work नहीं किया।,1,['BIOS'],['negative']
647,"पिछले 3 years में two PC laptop die होने के बाद, मैने sleek design और less tech issues के promise के द्वारा Best Buy में Apple display को lead किया था।",2,"['design', 'tech issues']","['positive', 'positive']"
648,मेरे पास regular computer के रुप में एक laptop है लेकिन पाया कि इसे disconnect करना और इसके चारों ओर lugging एक drag था।,0,[],[]
649,यह मेरा second MacBook है।,0,[],[]
650,Size perfect है और मैं किसी भी person जो आप को दी हुई limited space को exceed कर सकता है को छोड़कर किसी भी बड़ी चीज को recommend नहीं करता हूं।,2,"['Size', 'space']","['positive', 'negative']"
651,"Toshiba से मुझे जो service मिली, वह duty के call के ऊपर और परे चली गई।",1,['service'],['positive']
652,"बहुत सारे higher priced वाले computers crash और burn होने से बहुत पहले, सारे great memory और speed, आदि का use करने को मिला है।",3,"['memory', 'speed', 'priced']","['negative', 'negative', 'negative']"
653,मैं सिर्फ internet speed के कारण शायद इसे recommend करूंगा क्योंकि यह only thing है जिसकी मुझे वास्तव में care है।,1,['internet speed'],['positive']
654,मैं दूसरा Mac own करता हूं लेकिन अपना work done करने के लिए हमेशा MacBook Pro को खुद navigation करता पाता हूं।,0,[],[]
655,"School या office use के लिए कई programs हैं (Pages, Numbers, Keynote इत्यादि), music (Garageband), photo management (Photo Booth, iPhoto), video-editing या movie-making (iMovies), इत्यादि",13,"['programs', 'Garageband', 'Photo Booth', 'iPhoto', 'iMovie', 'video-editing', 'movie-making', 'photo management', 'music', 'Pages', 'Numbers', 'Keynote', 'School या office use']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
656,यह मेरा तीसरा Apple laptop और पहला MacBook Pro है।,0,[],[]
657,मेरे पास कुछ months के लिए यह laptop है और मैं कहूंगा कि मैं pretty satisfied हूं।,0,[],[]
658,इस laptop के साथ मेरे relationshipc का love part बहुत लंबा नहीं चलता है।,0,[],[]
659,मेरे लिए इतना time नहीं है कि मैं इसे 5 stars दूं!,0,[],[]
660,Screen शानदार colors दिखाती है।,2,"['Screen', 'colors']","['positive', 'positive']"
661,"Reason बताएं? ऐसा इसलिए है क्योंकि जब आप इसे buy करते हैं आप जान जाते हैं कि laptop के लिए आपकी कोई value loose नहीं होने वाली, next year भी price वही रहेगी और यदि Apple mode change करने का decide करें भी तो आपके laptop की value 10-20 % drop होगी, PC से अलग laptop जो 80% तक drop हो जाते हैं।",3,"['value', 'price', 'value']","['positive', 'positive', 'positive']"
662,यह huge difference है।,0,[],[]
663,"Dells ठीक हैं, HPs उतने अच्छे नहीं हैं, लेकिन Macs fantastic हैं।",0,[],[]
664,"  So, buyer beware!",0,[],[]
665,मैं अपनी little toshie से पूरी तरह से satisfied हूँ!,0,[],[]
666,मुझे कोई idea नहीं है कि सिर्फ starters के लिए burn cd's या webcam कैसे use करना है।,2,"['webcam', 'burn cd's']","['neutral', 'neutral']"
667,"फिर से मैंने इसको Acer को send किया, इस time वह मेरे उन्हें send करने पर pay कर रहे थे और सब कुछ, लेकिन फिर भी यह inconvenient था मेरे classes और मेरे fiance के साथ मेरे communication के कारण।",0,[],[]
668,DEFINITELY recommended!!!,0,[],[]
669,यह बहुत ज्यादा user friendly और intuitive सहज है।,0,[],[]
670,मुझे good से start करने दो: बहुत बढ़िया।,0,[],[]
671,मैं आखिरकार अपने limit तक पहुँच गया था और break हो गया।,0,[],[]
672,"17 inch screen बहुत बड़ी है, लेकिन computer बहुत हल्का है।",1,['17 inch screen'],['negative']
673,"Stock market की तरह Sony के बारे में मेरा opinion drop होता जा रहा है उनकी horrible support के कारण, लेकिन इस machine ने एक दूसरा plunge करवा दिया।",1,['support'],['negative']
674,"क्या मैं computer like करता हूं? खैर, viruses ना होने के अलावा, मैं guess करता हूं कि यह OK है।",0,[],[]
675,"Bluetooth को ठीक से काम करने के लिए, आपको Drivers/Applications DVD पर Launch Manager को install करना होगा, या फिर load होने के बाद यह show नहीं होगा।",3,"['Bluetooth', 'Drivers/Applications DVD', 'Launch Manager']","['neutral', 'neutral', 'neutral']"
676,मैंने wait और wait किया और कोई laptop नहीं।,0,[],[]
677,सब कुछ internally और externally एक तरफ गिर रहा था।,0,[],[]
678,मुझे glass screen भी पसंद है।,1,['glass screen'],['positive']
679,"जब आप laptop पर gaming करना चाहते हैं, तो switchable graphic card काफी sweet होता है।",2,"['switchable graphic card', 'gaming']","['positive', 'neutral']"
680,"यह super shiny है, इसलिए आप fingerprints आसानी से देख सकते हैं।",0,[],[]
681,"यह कोई wear और tear issue नहीं है, user की carelessness की वजह से नहीं, और खास तौर पर, वह guarantee नहीं कर सकते कि problem solve हो जाएगी अगर इसे service पर send किया गया, मुझे outcome को accept करना होगा।",1,['service'],['negative']
682,"जब से मैंने इसे buy किया है, तब से battery life decrease नहीं हुई है, इसलिए मैं इससे thrilled हूं।",1,['battery life'],['positive']
683,यह एक dog plain और simple है।,0,[],[]
684,"जब मैंने Toshiba को call किया, तो वे कुछ भी नहीं करेंगे और उन्होंने मुझे phone call के लिए $ 35 charge करने का भी try किया, यहां तक कि उन्होंने कोई technical support भी नहीं दिया।",1,['technical support'],['negative']
685,मेरा HP बहुत heavy है।,0,[],[]
686,मैंने इस notebook को buy किया था और केवल 3 months के लिए ये था अगर यह BOOT MGR के updates के साथ overload है।,1,['BOOT MGR'],['neutral']
687,"ओह और अगर वह उतना bad नहीं हुआ इसके साथ कोई recovery cd नहीं आती तो आप एक बना सकते हैं अगर आपको बनाना आता हो, या फिर buy भी कर सकते हैं यदी आप buy करते हैं two cds की cost $25 होती है।",1,['recovery cd'],['negative']
688,Price और features मेरी needs से ज्यादा हैं।,2,"['Price', 'features']","['positive', 'positive']"
689,They refuse.,0,[],[]
690,Big mistake!,0,[],[]
691,Best Buy हमेशा की तरह great रहा और उसने return accept की और मुझे एक और model 1764 दिया।,0,[],[]
692,केवल मेरे पास 1 hour रखने के बाद और dell और best buy दोनों ने इसे वापस लेने से refuse कर दिया।,0,[],[]
693,"मेरे friends या children इसका use करते हैं जब उन्हें Net borrow करने की need होती है, और जब मैं इसको out grow करूं मतलब जब यह old हो जाए और मेरी oldest child इसके लिए ready हो जाए, उसे यह वाला मिल जाएगा और मैं सिर्फ TOSHIBA buy कर लूंगा।",0,[],[]
694,"सबसे पहले, मैं fifteen years से अधिक Dell का fan रहा हूं।",0,[],[]
695,GREAT INVESTMENT!,0,[],[]
696,I am just amazed.,0,[],[]
697,"मैंने अपना leg burn कर दिया मेरे desk से इसे lift करने के बाद और सिर्फ 5 seconds के लिए ही अपने lap में इसे रखा था मेरा coffee table clean करने के लिए, जिससे मैं इसे वहां रख सकूं।",0,[],[]
698,मैंने सोचा मेरी सारी problems solve हो जाएंगी क्योंकि मेरा old computer wireless network पर नहीं जाएगा और मुझे उन्हीं problems का सामना नहीं करना पड़ेगा क्योंकि यह updated हैं।,0,[],[]
699,Skype इस machine के साथ बस dang cool है।,1,['Skype'],['positive']
700,मैं इस laptop को बार-बार buy करता हूँ!,0,[],[]
701,Mouse buttons दबाने में सख़्त हैं।,1,['Mouse buttons'],['negative']
702,"मैं वास्तव में इस MAC के साथ work कर सकता हूं, और मेरे tired old PC laptop की तरह इससे fight नहीं करता।",0,[],[]
703,"इसके अलावा, HDD rails का use करके सुरक्षित करता है, और मुख्य hard drive पर केवल एक set होता है।",3,"['HDD', 'rails', 'hard drive']","['positive', 'neutral', 'neutral']"
704,"अगर आप mobile नहीं चाहते हैं, तो desk पर बैठने के लिए यह एक good laptop है।",0,[],[]
705,मैं इसके साथ travel भी करता हूं और यह मुझे कभी कोई problems नहीं देता है।,0,[],[]
706,बस इस पर अपना time और money waste मत करो।,0,[],[]
707,मैं बस यही कहूंगा कि यह two grand से कम expensive और ज्यादा better quality का था hunk of crap Vaio से।,1,['quality'],['positive']
708,"(Beware, उनके staff आपको यह feel कराते हुए वापस send कर सकते हैं कि केवल वे ही जानते हैं कि computer क्या है।",1,['staff'],['negative']
709,"और मैं अभी भी bloody financing का pay कर रहा हूं, एक product के लिए जो कम से कम three years तक नहीं चला!",0,[],[]
710,Games मुख्य issue रहे।,1,['Games'],['negative']
711,"कोई problem नहीं, कोई lock ups नहीं, कोई disappointments नहीं।",0,[],[]
712,"जबकि computer लगता है कि बड़े ही common sense में set up किया हुआ है किसी विशेष तरीके से नहीं, कुछ गड़बड़ियां हैं जो आपको PC world से deal करने के try में crazy कर सकती हैं।",0,[],[]
713,"मैं निश्चित रूप से sell कर रहा हूं, और home use के लिए PCs पर वापस नहीं जा रहा हूं!",0,[],[]
714,"मेरे पास एक lapdesk है जिसे मैं use कर सकता हूं, लेकिन मैं अभी भी foam और plastic के माध्यम से heat feel कर सकता हूं।",0,[],[]
715,और यह वास्तव में cheap है और आप इसे buy करके regret नहीं करेंगे।,0,[],[]
716,यह overrated था!,0,[],[]
717,मुझे समझ में नहीं आता है कि कोई भी कैसे सोच सकता है कि यह एक great product purchase के लायक है।,0,[],[]
718,मेरी sister के पास मेरे जैसा ही Mac है और वह एक band में है और record और edit करने के लिए GarageBand का use करती है।,1,['GarageBand'],['neutral']
719,मैं वास्तव में sure नहीं था कि मैं उतना money spent करना चाहता हूं!,0,[],[]
720,अन्य विचार: इस product को purchase ना करें।,0,[],[]
721,वे कहते हैं कि यह hard drive पर warranty को invalidate कर देंगे (मुझे वास्तव में समझ नहीं आता कि क्यों लेकिन जो भी हो)।,2,"['warranty', 'hard drive']","['negative', 'neutral']"
722,और बहुत sexy दिखता है: वास्तव में mac book pro best laptop है विशेष रूप से college में students के लिए अगर आप price के बारे में care नहीं करते हैं।,1,['price'],['negative']
723,"मैंने computer को फिर से वापस ले लिया, इस time के अलावा उन्होंने इसे अपने Geek Squad headquarters में send करने के लिए रखा।",0,[],[]
724,यह एक great laptop है और मैं इसे किसी को भी recommend करुंगा।,0,[],[]
