sentence,aspect_terms,at_polarity
"I have a laptop as my regular computer, but found that disconnecting it and lugging it around was a drag.",[],[]
This is my second MacBook.,[],[]
The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,"['size', 'space']","['positive', 'negative']"
The service I received from Toshiba went above and beyond the call of duty.,['service'],['positive']
"Have had many higher priced computers crash and burn long before ever got to use all that great memory and speed, etc.","['memory', 'speed', 'priced']","['negative', 'negative', 'negative']"
I would recommend it just because of the internet speed probably because thats the only thing i really care about.,['internet speed'],['positive']
I own other Macs but always find myself navigation to the MacBook Pro to get my work done.,[],[]
"There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.","['programs', 'Garageband', 'Photo Booth', 'iPhoto', 'iMovie', 'video-editing', 'movie-making', 'photo management', 'music', 'Pages', 'Numbers', 'Keynote', 'school or office use']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
This is my 3rd Apple Laptop and first MacBook Pro.,[],[]
I have had this laptop for a few months now and i would say im pretty satisfied.,[],[]
The love part of my relationship with this laptop doesn't take very long.,[],[]
Not enough time for me to give it 5 stars!,[],[]
The screen shows great colors.,"['screen', 'colors']","['positive', 'positive']"
"Reason why? It's because when you buy it, you know first thing that you will not lose any value for that laptop, the price will stay the same for the next year, and even if Apple does decides to change mode, your laptop value will only drop 10-20%, unlike PC laptops which drop more than 80%.","['value', 'price', 'value']","['positive', 'positive', 'positive']"
That's a huge difference.,[],[]
"Dells are ok, HPs aren't that good, but Macs or Fantastic.",[],[]
"So, buyers beware!",[],[]
I am totally satisfied with my little toshie!,[],[]
"I have no idea how to burn cd's or to use the web cam, just for starters.","['web cam', ""burn cd's""]","['neutral', 'neutral']"
"Again, I sent it off to Acer, by this time they were paying for me to send it to them and everything, but it was still inconvienent because of my classes and my communication with my fiance.",[],[]
DEFINITELY recommended!!!,[],[]
It is extremely user friendly and intuitive.,[],[]
Let me start with the good:So awesome.,[],[]
I had finally reached my limit and broke down.,[],[]
"The 17 inch screen is very large, but the computer is very light.",['17 inch screen'],['negative']
"My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",['support'],['negative']
"Do I like the computer? Well, other than not getting viruses, I guess it is OK.",[],[]
"For the Bluetooth to work properly, you must install the Launch Manager on the Drivers/Applications DVD, or it will not show after the reload.","['Bluetooth', 'Drivers/Applications DVD', 'Launch Manager']","['neutral', 'neutral', 'neutral']"
I waited and waited and no laptop.,[],[]
Everything is falling apart internally and externally.,[],[]
I also liked the glass screen.,['glass screen'],['positive']
The switchable graphic card is pretty sweet when you want gaming on the laptop.,"['switchable graphic card', 'gaming']","['positive', 'neutral']"
"It super shiny, so you can see the fingerprints easily.",[],[]
"It's not a wear-and-tear issue, not due to user carelessness and most importantly, they CAN'T guarantee the problem will be solved if it is sent for service and I have to accept the outcome.",['service'],['negative']
"The battery life has not decreased since I bought it, so i'm thrilled with that.",['battery life'],['positive']
Its a dog plain and simple.,[],[]
"When I called Toshiba, they would not do anything and even tried to charge me $35 for the phone call, even though they didn't offer any technical support.",['technical support'],['negative']
My HP is very heavy.,[],[]
I bought this notebook and only had it for 3 months If it is overload with updates the BOOT MGR.,['BOOT MGR'],['neutral']
Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,['recovery cd'],['negative']
The price and features more than met my needs.,"['price', 'features']","['positive', 'positive']"
They refuse.,[],[]
big mistake!,[],[]
Best Buy was great as always and accepted the return and gave me another model 1764.,[],[]
and dell and best buy both refused to take it back after i only had it for 1 hour....,[],[]
My friends or children use that when they need to borrow the Net =) When I out grow this Meaning when its old and my oldest child is ready for one she will get this one ANd I will be buying only TOSHIBA!,[],[]
"First of all, I've been Dell fan for more than fifteen years.",[],[]
GREAT INVESTMENT!,[],[]
I am just amazed.,[],[]
"I burned my leg, after lifting it from my desk, and for less than 5 second putting it on my lap to clean my coffee table, so I can place it there.",[],[]
I thought all my problems would finally be solved being that my old computer wouldn't go onto our wireless network and I wouldn't have the same problems because it was updated.,[],[]
Skype is just so dang cool with this machine too.,['Skype'],['positive']
I would buy this lap top over and over again!,[],[]
the mouse buttons are hard to push.,['mouse buttons'],['negative']
"I can actually get work done with this MAC, and not fight with it like my tired old PC laptop.",[],[]
"Also, HDD secures inside using rails, and there is only one set on the main hard drive.","['HDD', 'rails', 'hard drive']","['positive', 'neutral', 'neutral']"
"If you're not wanting to be mobile, this is a good laptop to sit on a desk.",[],[]
I also travel with it and it never gives me any problems.,[],[]
Just don't waste your time and money on this.,[],[]
All I will say now is that it was over two grand less expensive and so much better quality than my hunk of crap Vaio.,['quality'],['positive']
"(Beware, their staff could send you back making you feel that only they know what a computer is.",['staff'],['negative']
"And I'm still paying the bloody financing, for a product which didn't last me at least three years !",[],[]
Games being the main issue.,['Games'],['negative']
"No problems, no lock ups, no disappointments.",[],[]
"While the computer seems to be set up in a common sense way rather than in geek-speak, there are certain quirks that can drive you crazy trying to deal with the PC world.",[],[]
"I am definitely sold, and not going back to PCs for home use!",[],[]
"I have a lapdesk which I can use, but I can still feel the heat through the foam and plastic.",[],[]
and its really cheap and you wont regret buying it.,[],[]
It was over rated!,[],[]
I dont understand how anyone can think this is a great product worth purchasing.,[],[]
My sister has the same Mac as me and she is in a band and uses GarageBand to record and edit.,['GarageBand'],['neutral']
I wasn't really sure I wanted to spend that kind of money!,[],[]
Other Thoughts: Do not purchase this product.,[],[]
They say that this will invalidate the warranty on the hard drive (I don't really understand why but anyway).,"['warranty', 'hard drive']","['negative', 'neutral']"
and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.,['price'],['negative']
I took the computer back in yet again except this time they kept it to send into their Geek Squad headquarters.,[],[]
This is a great laptop and I would recommend it to anyone.,[],[]
"Thank God for ""ctrl Z""Bottom line, I've been using laptops since the mid 90s and probably the majority of brands out there.",[],[]
They definitely have a superior product!,[],[]
A great computer for light home use and business use.,"['home use', 'business use']","['positive', 'positive']"
Bought it to use mostly for oline classes.,[],[]
"Even with virus protection, it always turned off when updates were needed and installed.","['virus protection', 'updates']","['negative', 'negative']"
"Also consider the MS Office apps are all trial versions, hope you have your own copies.",['MS Office apps'],['negative']
"They are wonderful, but very dangerous when it comes to emitting heat.",[],[]
This computer was awful!,[],[]
"Heck, if I had enough ' money, I would but it as a gift for someone.",[],[]
"Even so, I like playing online games, so it was wonderful that there is a feature where I can dualboot Windows.","['feature', 'Windows', 'games']","['positive', 'positive', 'neutral']"
The battery life is amazingly long at 7hrs and 5hrs if you use it.,['battery life'],['positive']
My previous purchases were with Dell and HP.,[],[]
I have not have any problems.,[],[]
I purchased an HP right after my high school graduation.,[],[]
Me and my boyfriend bought the Gateway NV78 in nov of 09.,[],[]
It is very user friendly and not hard to figure out at all.,[],[]
"lightweight, long battery life, excellent transition from PC;",['battery life'],['positive']
The price is another driving influence that made me purchase this laptop.,['price'],['positive']
The Nortons virus scan is only for a very short time unlike others that usually are good for a year.,['Nortons virus scan'],['negative']
It is stamped and not in pieces therefore it is a stronger more resilient frame.,['frame'],['positive']
I am first time Mac Buyer and am amazed at features and ease of use the Mac offers.,"['features', 'use']","['positive', 'positive']"
"Two, owning a 17 in.mac book gives the flexibility to sit anywhere you want without worry about bother anyone.",[],[]
Sent unit back and it's been two months.,[],[]
Came fully loaded - good.,['loaded'],['positive']
"I noticed windows has a new system called Windows 7, what about us Vista users?  They should get all the bugs out of Vista before investing in a new system.","['Windows 7', 'Vista', 'Vista', 'windows']","['neutral', 'neutral', 'negative', 'neutral']"
"When we bought our new HP comouter in Dec. of 2008, we wanted Windows XP, but were told it would cost an extra $159, so we went with Vista.","['Windows XP', 'Vista']","['conflict', 'neutral']"
(I definatly can't).,[],[]
"Files as well would become lost, deleted or corrupted.",[],[]
It is meant to be PORTABLE.,[],[]
My laptop worked again for just a while before I started having issues AGAIN.,[],[]
This is perfect for her field.,[],[]
taking it back less than 24 hours of purchase,[],[]
That's the downside for me.,[],[]
"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.",['key broad'],['negative']
Hopefully Amazon will take this back.,[],[]
They ended up keeping my computer for almost 3 months!,[],[]
"I'm still within the one year warranty but the repair ""depot""  has deemed that this time it was caused by physical abuse and is not  covered.","['warranty', 'repair ""depot""']","['negative', 'negative']"
But I needed a laptop for school use.,['school use'],['neutral']
he can't stand it.,[],[]
The computer was delivered as promised.,[],[]
This is the complete opposite to an ergonomic design.,['design'],['negative']
I would like at least a 4 hr. battery life.,['battery life'],['neutral']
The only thing that I don't like about my mac is that sometimes there are programs that I want to be able to run and I am not able to.,['programs'],['negative']
"Looking online, many people are having the same problem.",[],[]
"Wireless has not been a issue for me, like some others have meantioned.",['Wireless'],['positive']
THIS IS MY SECOND MAC BOOK PRO.,[],[]
"MacBook Notebooks quickly die out because of their short battery life, as well as the many background programs that run without the user's knowlede.","['battery life', 'programs']","['negative', 'negative']"
"All the things you can do with the trackpad make navigating around the computer and its programs so much simpler, quicker, and easier.","['trackpad', 'programs', 'navigating']","['positive', 'positive', 'positive']"
I guess the only good thing that came out of these were the speakers and the subwoofer.,"['speakers', 'subwoofer']","['positive', 'positive']"
Theres a built in camera with special effects- for video and photography.,['built in camera'],['positive']
All for such a great price.,['price'],['positive']
I went right out and purchased another laptop.,[],[]
"Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",['warranty'],['neutral']
I am able to play 720p and 1080p media files just fine with it.,[],[]
"I already own an iPhone, and so the move just made more sense.",[],[]
So think about factoring those things in when you purchase.,[],[]
Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,[],[]
Everything was up and running within 15 minutes of unboxing.,[],[]
"This computer gets very hot, before shutting down.",[],[]
Another thing is that after only a month the left mouse key broke and it costed $175 to send it in to fix it.,"['left mouse key', 'costed']","['negative', 'neutral']"
Went silently.,[],[]
Satisfy what I paid for it.,[],[]
IT IS TRASH!,[],[]
It has good speed and plenty of hard drive space.,"['speed', 'hard drive space']","['positive', 'positive']"
Clear picture on it and everything.,['picture'],['positive']
"Overall though, for the money spent it's a great deal.",[],[]
So you don't get frustrated the first few weeks.,[],[]
"They said that my computer was covered on an extended warranty, and that products with  extended warranties are taken care of through third parties and not Sony itself anymore.","['extended warranty', 'extended warranties']","['neutral', 'neutral']"
It's so useable and responsive.,[],[]
It is truly a Desktop Replacement.,[],[]
I only used it to browse the internet and and I dont know how many times it has spontaniously shut down and it is just a blank screen now.,[],[]
"A little pricey but it is well, well worth it.",[],[]
Very long-life battery (up to 10-11 hours depending on how you configure power level settings).,['battery'],['positive']
"Screen is awesome, battery life is good.","['Screen', 'battery life']","['positive', 'positive']"
The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,['appearance'],['positive']
In my opinion it was not as user friendly as I expected either.,[],[]
The technical service for dell is so 3rd world it might as well not even bother.,['technical service for dell'],['negative']
The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,"['graphics', 'warranty']","['negative', 'negative']"
and if u did.,[],[]
"I've had the MacBook Pro 15 for about three weeks, and it really is a great computer.",[],[]
"They gave me a hard time yet again, but their was a malfunction in the battery itself, it didn't die.",['battery'],['negative']
It was definelty a smart move.,[],[]
I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,[],[]
Apparently they are defective since they are not securely attached.,[],[]
but other then that I would give this product a 4 in hafe stars.,[],[]
Sure hope Best Buy will replace it asap.,[],[]
I babyed the heck out of it and i still do.,[],[]
Handles all my basic media needs easily.,[],[]
Just what the doctor ordered.,[],[]
"If you don't feel comfortable doing it yourself, just buy the case and be happy, plus it looks nice, I bought the white one from Best Buy.",['case'],['positive']
The reaction of Toshiba is there is nothing you can do about it so just sit back and except the fact that you are powerless and it is mind over matter.,[],[]
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.","['performance', 'price', 'look', 'applications']","['neutral', 'positive', 'positive', 'positive']"
Excellent speed for processing data.,['speed'],['positive']
"All in all, I'm incredibly dissatisfied with this laptop, and with HP as a whole.",[],[]
I am not happy at all with the product I purchased.,[],[]
When you call tech support you were routed to someone who was in another country and did not know what they were doing.,['tech support'],['negative']
"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.","['gaming', 'use']","['positive', 'positive']"
I was taught to use Photoshop and was amazed.,['Photoshop'],['positive']
It's A MAC!!,[],[]
It was weird.,[],[]
I can hardly wait to see whats around the next corner.,[],[]
the apple pro notebook will not let you down.,[],[]
4gb of ram...,['ram'],['neutral']
"I did a review on it, its awesome.",[],[]
"Before we got this laptop, had a compaq pasaro for 5 years with no problems.",[],[]
I tried out another Mac for a few months before buying this one and it is a great machine.,[],[]
Somehow the system clock got messed up after reboot.,['system clock'],['negative']
"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",['RAM'],['negative']
With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.,['securitysoftware'],['positive']
The computer could have been shipped by Priority Mail through the USPS for the same cost and arrived by Noon on Tue.,[],[]
I visited the Apple Store and was impressed with the 17-inch MacBook Pro.,[],[]
"The driver updates don't fix the issue, very frustrating.",['driver updates'],['negative']
I will never go back to Windows!,['Windows'],['negative']
Do your research on this issue.,[],[]
"Looking to take my video and photo editing to the next level, I decided to purchase the MBP 15in Intel Core i5 after reading consumer reviews as well as professional reviews of this laptop.",[],[]
It doesnt work worth a damn.,['work'],['negative']
"HP Pavilion DV9000 Notebook PC      When I first got this computer, it really rocked.",[],[]
It works really well.,['works'],['positive']
It has happened again and I'm being told that it's $175.,[],[]
"Bigger HD, better graphics card, and a bid HD.","['HD', 'HD', 'graphics card']","['positive', 'positive', 'positive']"
Lord HAVE MERCY!,[],[]
The built in camera is very useful when chatting with other techs in remote buildings on our campus.,['built in camera'],['positive']
No big deal.,[],[]
"Mine came at $1,700 w/o a DVD burner (!).",['DVD burner'],['negative']
The DVD burner broke after burning 3 DVD'd during that time!,['DVD burner'],['negative']
It works fine with our wireless and they've had not problems.,['works'],['positive']
But you must get the 15 inch.,['15 inch'],['positive']
i will be returning it and switching brands when i get to best buy.,[],[]
Product support very poor as each phone call costs me long distan,['Product support'],['negative']
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.","['screen', 'use']","['positive', 'positive']"
The casing of the power cord fried and shocked my husband when he pulled it out of the socket.,['casing of the power cord'],['negative']
It does not keep internet signals no matter where you bring it.,['internet signals'],['negative']
apple is one of the best computer companies in the country.,[],[]
PLEASE MAKE THESE!,[],[]
Frustrated I hung up and tried to call back 3 days later to be told that it takes 2-3 days for turnaround time.,[],[]
"After the first few months, the computer started crashing about every week.",[],[]
"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school.",[],[]
It's a great product for a great price!,['price'],['positive']
"Again, the same problem, the right speaker did not work.",['right speaker'],['negative']
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,"['price tag', 'software', 'updates']","['conflict', 'positive', 'positive']"
"Before i bought my new i5, I did my research for about 2 weeks and determined to move for HP to Apple for reliability, dependable, and long lasting operations.",[],[]
Dell wanted to charge us for everything everytime I called them with a problem.,[],[]
THIS HAS BEEN NOTHING BUT A HEADACHE SINCE WE PURCHASED IT.,[],[]
i have had my dell latitude for almost three years.,[],[]
May be better for the occasional web surfer.,[],[]
and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.,['multiple page viewer'],['positive']
This was the 3rd day and part still had not been shipped.,['shipped'],['negative']
Obviously we both got new Macs.,[],[]
"My Iphone synced right up just like a person would expect, unlike the PCs in our lives.",[],[]
That being said after 2 weeks of owning every time I start it up now it gives me a black screen for 5-8 seconds stating pxe-e61 media test error check cable.,[],[]
"It's fun to take to a bookstore, sit in the coffee shop area, sign in to WiFi and look up book reviews of books I might buy.",[],[]
"Not super fancy, but not super expensive either.",[],[]
Keyboard good sized and wasy to use.,"['Keyboard', 'use']","['positive', 'positive']"
HP said it was out of warranty.,['warranty'],['neutral']
"-Stay away from Apple, or hope you laptop does not break down.",[],[]
It's a great prodcut to handle basic computing needs.,[],[]
"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop.",['quality'],['negative']
wonderful features.,['features'],['positive']
the laptop was really good and it goes really fast just the way i thought it would of run.,[],[]
I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.,['recovery disk'],['negative']
Im glad that it has such great features in it.,['features'],['positive']
it's just a great toy to have around.,[],[]
I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,"['programs', 'Office', 'Office programs']","['positive', 'negative', 'neutral']"
Great wifi too.,['wifi'],['positive']
"WHEN TYPING, LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES.",['TYPING'],['negative']
"Only a few days after I received the computer back, the screen froze again.",['screen'],['negative']
It is not ideal for children because of the temp.,['temp'],['negative']
"sounds like a typewriter, but if you can get past that, this is a great laptop for a little money!",[],[]
When this happened I would have to completely power off my computer and restart it.,[],[]
Although i do believe that Windows operating system may be to fault for some of the problems.,['Windows operating system'],['negative']
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.","['OS', 'processor speed', 'thunderbolt port']","['positive', 'positive', 'positive']"
I or my dad paid over twenty four hundred dollars for everything.,[],[]
The lcd screen stopped working on mine after 10 months.,['lcd screen'],['negative']
That includes transferring my music and movies.,[],[]
Images are crisp and clean.,['Images'],['positive']
"Took that one home, same thing.",[],[]
I'm going back to PC.,[],[]
"Great, quick laptop for the money.",[],[]
although its windows vista compared to windows xp sucks.,"['windows vista', 'windows xp']","['negative', 'positive']"
"We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.","['Vista', 'Adobe Flash player', 'Internet Explore', 'Windows update', 'update']","['negative', 'negative', 'negative', 'negative', 'negative']"
The Dell mini was the first Dell product that I had ever purchased.,[],[]
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,"['switch', 'switch']","['negative', 'negative']"
My Mac has gone from being a trusted friend to an adversary.,[],[]
"One more tip, please purchase this model and get a 4GB stick of RAM to save you $10",['4GB stick of RAM'],['positive']
"By week two, my laptop had overheated and was completely dead even though I did not use it too much.",[],[]
And it is impossible to get them back in.,[],[]
My last laptop gave me a constant battle even though it was also completely new.,[],[]
I have been a mac user since the mid 90s.,[],[]
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,"['hardrive', 'touch control buttons', 'keyboard']","['negative', 'negative', 'negative']"
After the bad experience with this computer went back to compaq.,[],[]
Finally after months of research the discovered that they mailed it to a Walmart and there probably would be no way to find the box.,[],[]
It doesn't heat up like my old laptop.,[],[]
I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,['performance'],['positive']
It's solid.,[],[]
"Before I got my macbook, I owned a Dell laptop.",[],[]
This laptop is the most amazing little peice of machinery I have owned outside of the Iphone.,[],[]
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.","['iLife software', 'iPhoto', 'iMovie', 'iWeb', 'iTunes', 'GarageBand', 'runs']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']"
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,['system board'],['negative']
"Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.","['size', 'software', 'hardware']","['neutral', 'neutral', 'neutral']"
I don't know how I could ever live without my Qousmio.,[],[]
"It has plenty of memory, lots of hard drive, and great graphics.","['memory', 'hard drive', 'graphics']","['positive', 'positive', 'positive']"
It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,"['programs', 'navigation']","['positive', 'positive']"
"It lasted for many years of travel, kids and abuse and if I fired it up today, it would work.",[],[]
"been a PC user for many, many years.",[],[]
"I have never had any issues or problems with my MacBook Pro so far, and it is still as fast as it was when I first bought it.",[],[]
"It freezes, and it always shows that there is an error, so I have to restart it a few times every time I use it.",[],[]
"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).","['hinge', 'LCD']","['negative', 'neutral']"
My problem was with DELL Customer Service.,['DELL Customer Service'],['negative']
"There are so many things wrong with this product, it just makes me want to set my self on fire!",[],[]
"It is not even a year old yet, so I would definitely not recommend it to anyone.",[],[]
Amazing machine.,[],[]
"I don't do any high tech stuff on it, just write papers, check mail, and sometimes play games, so I can't reccomend it if you are in the computer field.",[],[]
"Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.",['RMA service'],['positive']
I'm very impressed.,[],[]
Dell sucks,[],[]
Design: very durable.,['Design'],['positive']
It is easy to go from one keyboard to another.,['keyboard'],['neutral']
I spoke to 4 different people and was told they needed to transfer me to a 5th person!,[],[]
The Mac Book Pro performs flawlessly.,[],[]
Has a 5-6 hour battery life.,['battery life'],['neutral']
My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,"['screen/video resolution', 'resolution']","['negative', 'negative']"
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.","['applications', 'Dreamweaver', 'Final Cut Pro 7', 'Photoshop', 'Safari', 'Firefox', 'MSN Messenger']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
I have owned many computers and laptops.,[],[]
I recently purchased the mini and absolutely love it!,[],[]
Does a great job with video shot on a Canon 5D MKII.,[],[]
"I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.",['warrenty'],['negative']
Ive had to call tech support many times.,['tech support'],['neutral']
"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!","['Apple applications', 'iPhoto']","['positive', 'positive']"
"Yes, I have it on the highest available setting.",[],[]
Not to mention it has shit gigs.,['gigs'],['negative']
Hieroglyphics are quite common.,[],[]
This worked just fine.,[],[]
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.","['memory', '17-inch screen', 'DVD', 'CD burners']","['neutral', 'neutral', 'positive', 'positive']"
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.","['web browsing', 'uploading photos', 'watching movies', 'creating presentations']","['positive', 'positive', 'positive', 'positive']"
I was so happy with my new Mac.,[],[]
"Quality Display  I love HP,, it's the only computer/printer we will buy.",['Quality Display'],['positive']
"Despite the inconvenient weight, I opted for the 12 cell battery.","['weight', '12 cell battery']","['conflict', 'positive']"
My MacBook is faster than any comparable PC.,[],[]
The case is carved out of a single block of aluminum.,['case'],['neutral']
I'm very happy with this machine!,[],[]
I do not recommend this company or their products!!!!,[],[]
I like this machine because its very lightweight...,[],[]
First it burned or fused the power adapter plug.,['power adapter plug'],['negative']
"the features are great, the only thing it needs is better speakers.","['features', 'speakers']","['positive', 'negative']"
"It was still working, but there was nothing on the screen.",['screen'],['negative']
I bought this laptop and found its TAB is not functioning.,['TAB'],['negative']
Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.,['extended warrenty'],['negative']
HP said I had done the damage.,[],[]
"-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3).",['TFT panel'],['negative']
"Navigation through the computer is far superior compared to Windows operating systems, as well.","['Navigation', 'Windows operating systems']","['positive', 'negative']"
I would recommend this product.,[],[]
"If I had to buy another computer, I would most definetly buy an acer one computer.",[],[]
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.","['screen', 'screen size', 'bulk']","['negative', 'negative', 'negative']"
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.","['music software', 'software', 'picture', 'video']","['negative', 'positive', 'negative', 'negative']"
I previously owned an HP desktop and a Dell laptop.,[],[]
Everything else just install and go.,[],[]
This thing is a lemon.,[],[]
My laptop is almost 2yrs old and I have never had any problems with it.,[],[]
All the customers that come in hate Dell.,[],[]
"We now own two of these, identical.",[],[]
I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.,[],[]
"I enjoy very much my new Toshiba, purchased specifially for attending online schooling.",[],[]
"Once you go Mac, you can't go back!",[],[]
"I brought this laptop last friday, and originally it worked fantastic.",[],[]
The much lauded combined touch pad and clicker is a nightmare.,['combined touch pad and clicker'],['negative']
"The Unibody construction is solid, sleek and beautiful.",['Unibody construction'],['positive']
"They're easy, fun, powerful and will last a long time.",[],[]
I WANT MY L505-s5988 BACK!,[],[]
"I let my friend borrow it, and she knows nothing about computers, and she used it with ease.",[],[]
This MacBook is an outstanding product with great value.,['value'],['positive']
"If that is the case for you, I would suggest a pull-behind solution when looking at cases.",[],[]
I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,"['Windows', 'screen hinges']","['negative', 'negative']"
A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,"['BATTERY', 'STORAGE LIFE', 'SERVICE']","['negative', 'conflict', 'negative']"
and plenty of storage with 250 gb(though I will upgrade this and the ram..),"['storage', 'ram']","['positive', 'neutral']"
"I had to call Apple 19 times (each time 40 to 75 minutes on the phone), and take it to their store for evaluations, and diagnostics, 5 times.",[],[]
"No temporary replacement, they are out of replacements because ""many computers had problems with the Nvidia chipset""-Inquired status of repair.",['Nvidia chipset'],['negative']
I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.,['extended warranty'],['neutral']
I respond that I do not have the old computer...,[],[]
I homeschool my kids and with this netbook next to my desk we get to teaching and illustrating without skipping a beat.,[],[]
"Programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.",['Programs'],['negative']
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,['CHARGE TIME'],['negative']
"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.","['size', 'consistancy']","['negative', 'negative']"
I work with kids and they love making short videos on there.,[],[]
"It is very durable, I am pretty rough when it comes to electronics and it has taken it all with no reprecutions yet.",[],[]
"the key bindings take a little getting used to, but have loved the Macbook Pro.",['key bindings'],['negative']
Keyboard is reasonable size.,"['Keyboard', 'size']","['positive', 'positive']"
Instead it is sitting in West Verginia waiting for UPS to take two days to send Me a box and Two days for them to ship the computer some 691 miles by air? to Louisville Ky.,[],[]
I'm now trying to decide on another Dell model.,[],[]
I find myself using the 10-key more than I thought I would.,['10-key'],['positive']
The Macbook is a fantastic laptop.,[],[]
Fan noise: The fan made a constant hissing noise in the background.,"['Fan', 'fan']","['negative', 'negative']"
"I believe this is because I was more active than the average user, meaning I average about three ""tabs"".",[],[]
Best Buy Rocks!,[],[]
A couple things you should know:,[],[]
"bought the first asus laptop in san francisco, returned it in santa maria, thinking it was just a problem with that computer.",[],[]
